onset	duration	trial_type	image_type	image_num	response	reaction_time	trial_num	onset_orig	duration_orig	trial_type_orig	rating_par_orig	subject	run	phase	run_onset
1.015350397	5	attend	neutral	87	n/a	n/a	1	1.0154	5.0	att_neut	n/a	1	1	1	1.015350397
15.005500639	5	attend	negative	71	n/a	n/a	2	15.0055	5.0	att_neg	n/a	1	1	1	15.005500639
29.012463129	5	attend	negative	77	n/a	n/a	3	29.0125	5.0	att_neg	n/a	1	1	1	29.012463129
41.011304793	5	suppress	negative	15	n/a	n/a	4	41.0113	5.0	suppr_neg	n/a	1	1	1	41.011304793
53.0099502	5	suppress	negative	5	n/a	n/a	5	53.01	5.0	suppr_neg	n/a	1	1	1	53.0099502
69.008257558	5	attend	negative	64	n/a	n/a	6	69.0083	5.0	att_neg	n/a	1	1	1	69.008257558
83.015162104	5	suppress	negative	3	n/a	n/a	7	83.0152	5.0	suppr_neg	n/a	1	1	1	83.015162104
100.009299477	5	attend	neutral	97	n/a	n/a	8	100.0093	5.0	att_neut	n/a	1	1	1	100.009299477
111.012236873	5	attend	neutral	93	n/a	n/a	9	111.0122	5.0	att_neut	n/a	1	1	1	111.012236873
121.003063923	5	suppress	negative	19	n/a	n/a	10	121.0031	5.0	suppr_neg	n/a	1	1	1	121.003063923
139.009382946	5	attend	negative	68	n/a	n/a	11	139.0094	5.0	att_neg	n/a	1	1	1	139.009382946
150.012322735	5	attend	neutral	90	n/a	n/a	12	150.0123	5.0	att_neut	n/a	1	1	1	150.012322735
163.00692101	5	suppress	negative	2	n/a	n/a	13	163.0069	5.0	suppr_neg	n/a	1	1	1	163.00692101
176.001321033	5	attend	neutral	84	n/a	n/a	14	176.0013	5.0	att_neut	n/a	1	1	1	176.001321033
188.016865397	5	attend	neutral	100	n/a	n/a	15	188.0169	5.0	att_neut	n/a	1	1	1	188.016865397
201.011330779	5	attend	negative	65	n/a	n/a	16	201.0113	5.0	att_neg	n/a	1	1	1	201.011330779
212.014295004	5	attend	neutral	83	n/a	n/a	17	212.0143	5.0	att_neut	n/a	1	1	1	212.014295004
225.008823061	5	attend	negative	69	n/a	n/a	18	225.0088	5.0	att_neg	n/a	1	1	1	225.008823061
240.011348097	5	attend	neutral	92	n/a	n/a	19	240.0113	5.0	att_neut	n/a	1	1	1	240.011348097
252.010140051	5	suppress	negative	10	n/a	n/a	20	252.0101	5.0	suppr_neg	n/a	1	1	1	252.010140051
263.013060535	5	attend	negative	75	n/a	n/a	21	263.0131	5.0	att_neg	n/a	1	1	1	263.013060535
